LoanStatus,CurrentLoanAmount,Term,CreditScore,AnnualIncome,MonthlyDebt,YearsofCreditHistory,MonthsSinceLastDelinquent,NumberofOpenAccounts,Bankruptcies,CurrentCreditBalance,MaximumCredit
Fully Paid,445412,Short Term,709,1167493,5214.74,17.2,NA,6,1,228190,416746
Fully Paid,262328,Short Term,,,33295.98,21.1,8,35,0,229976,850784
Fully Paid,99999999,Short Term,741,2231892,29200.53,14.9,29,18,0,297996,750090
Fully Paid,347666,Long Term,721,806949,8741.9,12,NA,9,0,256329,386958
Fully Paid,176220,Short Term,,,20639.7,6.1,NA,15,0,253460,427174
Charged Off,206602,Short Term,7290,896857,16367.74,17.3,NA,6,0,215308,272448
Fully Paid,217646,Short Term,730,1184194,10855.08,19.6,10,13,1,122170,272052
Charged Off,648714,Long Term,,,14806.13,8.2,8,15,0,193306,864204
Fully Paid,548746,Short Term,678,2559110,18660.28,22.6,33,4,0,437171,555038
Fully Paid,215952,Short Term,739,1454735,39277.75,13.9,NA,20,0,669560,1021460
Fully Paid,99999999,Short Term,728,714628,11851.06,16,76,16,0,203965,289784
Fully Paid,541970,Short Term,,,23568.55,23.2,NA,23,0,60705,1634468
Fully Paid,99999999,Short Term,740,776188,11578.22,8.5,25,6,0,134083,220220
Fully Paid,99999999,Short Term,743,1560907,17560.37,13.3,NA,10,1,225549,496474
Fully Paid,234124,Short Term,727,693234,14211.24,24.7,46,10,1,28291,107052
Fully Paid,449020,Long Term,,,18904.81,19.4,NA,8,0,334533,428956
Charged Off,653004,Long Term,,,14537.09,20.5,NA,9,0,302309,413754
Fully Paid,666204,Long Term,723,1821967,17612.24,22,34,15,0,813694,2004618
Fully Paid,66396,Short Term,,,9898.81,27.1,NA,23,1,9728,402380
Fully Paid,390390,Short Term,747,1791738,2478.55,22.7,NA,6,0,121182,801812
Charged Off,317108,Long Term,687,1133274,9632.81,17.4,53,4,0,60287,126940
Fully Paid,128238,Short Term,750,1354073,13202.15,11.9,NA,7,0,131936,458788
Charged Off,153252,Short Term,714,1890690,21900.35,15.7,NA,12,0,891594,1081014
Fully Paid,91894,Short Term,724,850383,5860.74,17.5,NA,7,0,95608,230626
Fully Paid,244926,Long Term,704,1249953,6812.26,14.4,NA,6,0,143051,245014
Fully Paid,465410,Long Term,688,1722654,15647.45,22.3,30,7,0,107559,488356
Fully Paid,99999999,Short Term,724,1029857,13817.18,12,NA,6,0,138339,221232
Fully Paid,443960,Short Term,749,1432391,25186.21,14,NA,15,0,342475,905344
Fully Paid,99999999,Short Term,746,1749748,19247.19,20,32,17,0,224390,295240
Fully Paid,107404,Short Term,,,19238.07,43.7,NA,5,0,28956,58014
Fully Paid,99999999,Short Term,737,1501912,31039.54,18,NA,8,0,229349,469172
Fully Paid,334620,Short Term,729,1348620,16913.99,20,NA,16,0,313177,539616
Charged Off,130174,Short Term,733,524609,9311.71,15.4,NA,7,1,130701,268818
Fully Paid,333564,Long Term,725,1248338,18205.04,14.6,NA,18,0,300979,515526
Fully Paid,109318,Long Term,,,15524.9,22.7,NA,9,0,77121,920524
Fully Paid,125796,Short Term,745,1261068,20597.33,24.5,NA,13,0,684817,997414
Fully Paid,99999999,Short Term,743,752039,17046.23,14.1,NA,10,0,213484,478126
Fully Paid,161172,Short Term,720,796499,3404.99,22.6,NA,6,0,114095,170038
Charged Off,259842,Short Term,,,11792.73,20.6,34,9,0,401584,708818
Fully Paid,449108,Short Term,718,1454507,13090.43,28.8,21,14,0,193990,458414
Charged Off,688468,Long Term,682,1494616,14697.07,16.6,50,8,0,343995,843854
Fully Paid,210166,Short Term,,,13084.54,14,20,10,0,314336,483362
Fully Paid,327008,Long Term,,,15419.45,16.7,24,13,0,268090,529738
Charged Off,288948,Short Term,7120,537472,5777.9,14.8,NA,4,0,132468,164406
Fully Paid,311762,Long Term,680,2211657,44601.74,14.5,15,11,0,213921,509652
Fully Paid,266112,Short Term,750,919296,12946.79,21.6,NA,9,0,266266,485518
Fully Paid,129712,Short Term,723,1465698,18199.15,19.4,6,34,0,45106,163218
Fully Paid,287980,Short Term,737,1013954,16138.6,18.6,13,11,0,223117,489302
Fully Paid,439428,Short Term,710,1518024,20923.56,17.8,NA,11,0,209304,265716
Charged Off,456808,Long Term,598,1096167,14341.39,14.1,NA,8,0,161861,278058
Fully Paid,518012,Long Term,719,1193010,22667.38,20.9,NA,11,0,452770,1080926
Charged Off,219692,Long Term,6610,527839,14207.63,17,48,9,0,254277,379918
Charged Off,214874,Short Term,,,20322.78,15.6,69,8,0,285589,402776
Charged Off,374176,Long Term,652,1239199,5163.25,36.6,42,10,0,126350,415602
Fully Paid,99999999,Long Term,730,2509520,34714.9,40.8,35,12,0,733324,1035496
Charged Off,176198,Short Term,736,1902090,28372.89,15.4,7,9,0,206872,620554
Charged Off,78012,Short Term,7380,728726,10135.36,11.4,NA,8,0,104633,199936
Fully Paid,669372,Short Term,725,2158210,34711.29,9.2,NA,17,0,496052,638176
Fully Paid,130922,Short Term,747,2261304,9761.25,16.1,30,6,0,110428,235488
Fully Paid,174548,Short Term,721,1620681,30522.74,15,27,7,0,40489,128832
Charged Off,290224,Long Term,644,837045,8230.99,18.3,10,11,0,176624,370480
Fully Paid,718784,Long Term,672,1648915,15664.74,12,5,10,0,252016,489610
Fully Paid,152548,Short Term,,,19164.54,12.1,26,22,0,120916,946000
Fully Paid,602008,Long Term,741,2896721,48278.62,19.6,32,17,0,5246261,11887678
Fully Paid,171248,Short Term,747,3035725,42500.15,31.5,17,11,0,25460,151140
Charged Off,523908,Long Term,7370,1028774,22632.99,19.3,NA,5,0,474658,742720
Fully Paid,323466,Long Term,699,2048618,27997.64,14,72,19,1,389994,743952
Charged Off,751520,Long Term,,,27204.01,20.5,48,19,0,483968,594880
